Analysis of nonlinear bioheat transfer equation in magnetic fluid hyperthermia;;Zahed Zomordikhani(Islamic Azad University);Mohammad Mahdi Attar(Islamic Azad University),Alireza Jahangiri(Islamic Azad University),Farzan Barati(Islamic Azad University);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3911~3918;· Nonlinear bioheat transfer equation · Blood perfusion rate · Magnetic fluid hyperthermia · Temperature dependency of blood perfusion · Nanoparticles infusion;;기계공학;0;;10.1007/s12206-020-0841-9;The objective of this study is to examine the role of blood perfusion in magnetic fluid hyperthermia by drug delivery. Although increasing blood perfusion due to high local temperature difference refers to the intelligent response of the human body, some researchers are accustomed to employing a constant rate of blood perfusion in the bioheat transfer equation. In this study, we considered a variable volumetric rate for blood perfusion in tissue, experimentally and numerically by Galerkin method. To validate the results obtained from numerical methods, an experimental procedure proposed. Furthermore, in order to transfer magnetic fluid by drug delivery, infusion pomp by which the saline serum with nanoparticles through the vein and artery was employed to make a spherical distribution in tissue. This circulation made it possible to transfer nanoparticles to tissue without any injection. After 60 minutes and changing the dark color of the saline serum to light clear, high amount of nanoparticles (about 90 %) was transferred to the tissue. After slicing the tissue, the rather spherical distribution of nanoparticles may be illustrated. Afterward, that circulation at the rate equal to blood perfusion has been made to simulate blood perfusion in dead tissue. To measure temperature, seven Lm35 sensors have been inserted into the tissue to report temperature differences. Based on results, there was seen a significant change in hyperthermic temperature difference in comparison with results obtained from Pennes' bioheat transfer equation. Additionally, a difference of about 5-10 % was seen between numerical and experimental results.
Experimental investigation on penetration performance of larger volume needle-free injection device;;Dongping Zeng(Wuhan University);Ni Wu(Wuhan University),Lei Qian(Wuhan University),Hanqing Shi(Wuhan University),Yong Kang(Wuhan University);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3897~3909;· Biomedical devices · Dynamics property · High-speed photography · Jet power · Micro-jet technology · Needle-free injection;;기계공학;0;;10.1007/s12206-020-0840-x;"The injection performance of a small volume of needle-free injection (up to 0.3 mL) has proven to be controllable and satisfactory in transdermal drug delivery. However, no comprehensive research on the behavior of larger volume injections with different requirements for clinical applications exists. This study aims to present the penetration characteristics of larger volume injections, including dynamic properties, dispersion pattern, and percent delivery.
The researchers conduct impact and injection experiments with injection volumes from 0.1-1.0 mL, driving pressures of 0.5-1.75 MPa, and orifice diameters of 0.17-0.5 mm. This study uses high-speed photography and impact experiments to capture the dynamic properties of the liquid jet. The researchers observe the dispersion patterns of liquid penetration into the gels in the gel injection experiments and investigate the percentages of liquid delivered to the skin tissues in porcine tissues injection experiments. Moreover, this study uses the response surface methodology (RSM) to analyze the interactive effect between various injection parameters on the injection performance. Results describe the differences in penetration performance between larger volume injections and small volume injections, and the critical volume of the mentioned injections is approximately 0.6 mL."
Fuel injection characteristic measurements under a transient injector driving condition using an injector driving algorithm;;Jae Bum Kim(Seoul National University of Science and Technology);Choong Hoon Lee(Seoul National University of Science and Technolog);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3889~3895;· Cumulative injected fuel mass (CIFM) · FPGA-DAQ · FTP-75 mode · Injector evaluation · Vehicle driving conditions;;기계공학;0;;10.1007/s12206-020-0839-3;"A new experimental system was developed to measure the cumulative injected fuel mass (CIFM) according to the driving time during the operation of a gasoline injector in an actual vehicle driving condition. An algorithm was developed to calculate the fuel injection timing and injection duration based on engine speed, crank position, and intake air mass data. The intake air mass and engine speed under the vehicle driving conditions were simulated using a computer. In this study, phase I of the FTP-75 mode was used as the vehicle driving mode.
GT-Suite ® was used as the computer simulation software. The engine part load data, an automatic transmission shift map, torque converter data and various vehicle specifications were used as input data for the GT-Suite ® simulation. The computer simulation time interval is 0.05 seconds. An injector drive signal corresponding to the fuel injection amount and timing calculated by the developed algorithm was generated in a FPGA DAQ system. The drive signal from the FPGA DAQ is supplied to the base terminal of the transistor to switch the injector drive voltage source to control the fuel injection. The real-time measurement of the CIFM was done using load cells, dynamic strain amplifiers, and the FPGA DAQ system. The CIFM was measured at intervals of 0.05 seconds using an experimental apparatus developed when the vehicle was driven in the FTP-75 mode. A low-pass filter was used to remove the noise due to the impact force of the fuel jet on the load cell when measuring the CIFM. Twenty-eight repetitive measurements were conducted for an uncertainty analysis of the measurement data. A normal distribution was used as the error function. The deviation % distribution from the average CIFM value was evaluated at the 95 % confidence level. The deviation % from the average CIFM value was 3 % at 50 seconds after the start of phase I of the FTP-75 mode and converged to 0.2 % at 512 seconds."
Numerical investigation of prediction performance of design fire curves for a tunnel fire;;Dinesh Myilsamy(Pukyong National University);Chang Bo Oh(Pukyong National University),이치영(부경대학교);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3875~3887;· Design fire curves · Fire dynamics simulator · Large eddy simulation · Mixing controlled fast chemistry · Mixture fraction · Tunnel fire;;기계공학;0;;10.1007/s12206-020-0838-4;"The prediction performance of design fire curves is numerically investigated for tunnel fire using the fire dynamics simulator (FDS). A large eddy simulation (LES) was adopted in the simulation of a previous 750 kW tunnel fire experiment. Based on the experimental heat release rate, t 2 -fire growth, quadratic and exponential design fire curves (DFCs) are mathematically constructed and adopted in the FDS simulation. The predictions of each DFCs are compared against the experimentally measured smoke temperature, smoke travel time, and carbon monoxide (CO) concentration. In addition, the prediction performance of the mixture fraction (MF) and mixing controlled fast chemistry (MCFC) combustion models, is compared. The simulation results of the MF and MCFC models are similar except for the CO concentration features.
For the performance of the DFCs, t 2 -fire growth curve with the MF combustion model is the most effective combination, which demonstrated the most reasonable agreement with the experimental data."
Optimal thermo-economic design of a PAFC-ORC combined power system;;Hye Rim Kim(Inha University);Jae Hong Lee(Inha University),Tong Seop Kim(Inha Univ., Korea);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3863~3874;· Design point · Economic analysis · Organic Rankine cycle · Phosphoric acid fuel cell · Waste heat recovery;;기계공학;0;;10.1007/s12206-020-0837-5;"Phosphoric acid fuel cells (PAFCs) are appropriate for applications that require high-quality power because of their high reliability. We propose a system that combines an 11 MW PAFC and an organic Rankine cycle (ORC). The ORC recovers waste heat from the PAFC and produces power. The performance and economics of the system were simulated with changes in the working parameters of the PAFC and ORC to find economically optimal design conditions. The optimal working conditions with the best economic performance were found between the operating conditions with the maximum power and the maximum efficiency.
The best design conditions were predicted for various ORC working fluids: the power was between 14.63 and 15.51 MW, and the efficiency was between 40.35 and 42.75 %. The maximum improvements of the power and efficiency over the stand-alone PAFC system were 41.77 % and 47.18 %, and the estimated payback period was around 5.50 years."
Mass exchange at liquid-solid interface: a molecular simulation scheme applied to evaporation phenomena;;Minsub Han(Incheon National University);;Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3855~3862;· Condensation coefficient · Monte Carlo simulation · Phase-change phenomena · Nanofluidics;;기계공학;0;;10.1007/s12206-020-0836-6;A numerical technique is presented that enables mass exchange at the liquid? solid interface region in a molecular simulation. Particles can be inserted and deleted in the solid region where interaction between the fluid and solid atoms is temporarily inactivated during the process. A simple momentum-increase scheme drives the inserted particles against the unfavorable free energy. The technique is efficient and stable for insertion of particles into dense and inhomogeneous regions. The thin film and sessile-drop evaporation phenomena are then investigated using the proposed technique that allows steady-state simulations. The evaporation coefficients for the nanoscale thin film and contact line were accurately and reliably measured. The evaporation coefficient near the contact line shows a discrepancy compared to that far from the contact line.
Single 2D lidar based follow-me of mobile robot on hilly terrains;;김지훈(서울대학교);정형진(숭실대학교 지능형로봇연구소),이동훈(숭실대학교);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3845~3854;· Leader following · Mahalanobis distance · 2D lidar · Posture tracking;;기계공학;0;;10.1007/s12206-020-0835-7;"It would be a very challenging task for mobile robot to track a person walking ahead on hilly terrains with a 2D lidar sensor instead of a 3D lidar or a rotating 2D lidar sensor.
But it is clear that the 2D lidar based method is much more efficient in terms of computational costs and sensor cost only. For successful leader-following of the mobile robot with the 2D lidar sensor on such hilly roads, it is necessary to develop a classifier capable of recognizing a specific body part of the leader differently from other parts. In this study, the Mahalanobis distance kernel based on two features extracted from the leader’s torso profiles is used to construct the elliptical decision boundaries for the classification problem. In addition, based on that classifier, the roll and pitch angle of the 2D lidar sensor are controlled to continuously track the leader's body part and to estimate the relative distance between the leader and the robot. As a result, even when the leader walks along paths with flat-to-hill transitions in day and night, the mobile robot successfully follows the leader with 80 % detection rate by stable pitching not exceed 1° of the 2D lidar sensor for keeping the torso inside its field of view. The proposed approach will be useful to improve the performances of multi-sensor based leader detection system using not only lidar sensor but also vision sensor with switching control scheme."
Two-stage optimization for energy-efficient bipedal walking;;Jiatao Ding(Wuhan University);Xiaohui Xiao(Wuhan University);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3833~3844;· Energy efficiency · CoM optimization · ZMP movement · Bipedal walking;;기계공학;0;;10.1007/s12206-020-0834-8;This paper proposes a two-stage optimization strategy for energy-efficient gait generation. At the first stage, by tracking the reference zero moment point (ZMP) trajectory, the optimal center of mass (CoM) trajectory, which contributes to the minimal unit energetic cost (UEC) of one step, is solved analytically by using an unconstrained optimization method. At the second stage, to minimize the multi-joint mechanical work, the ZMP reference during the single support phase is optimized by a constrained optimization method. As a result, by considering the feasibility constraints such as the limitation on ZMP movement, the energy-efficient walking patterns can be generated in real-time. Furthermore, the energetic performances under different step parameter configurations, which consist of step length, step duration, and time ratio of double support, are discussed. Simulations and hardware experiments have demonstrated the energetic benefits of the proposed strategy when compared with other state-of-the-art works.
Influence of hexapod robot foot shape on sinking considering multibody dynamics;;Gang He(Hohai University);Zhaoyuan Cao(Hohai University),Qian Li,(Hohai University),Denglin Zhu(Hohai University),Ji Aimin (Hohai University);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3823~3831;· Contact force · Foot section shape · Multibody dynamics · Hexapod robot · Sinking in soft soil;;기계공학;0;;10.1007/s12206-020-0833-9;"Hexapod robots have attracted attention for their excellent terrain adaptabilities.
When a robot walks on soft soil, dynamic subsidence and slippage greatly reduce its walking performance. The influence of foot’s shape is usually ignored or simply studied without considering the multibody dynamics of the robot. This study is focused on the influence of the foot shape on the walking performance of a robot by coupling the sinkage with multibody dynamics. A composite contact model based on the Bekker, spring-damping, and Janosi? Hanamoto models was used to model the interaction of the robot and soft soil. Non-uniform rational B-spline (NURBS) surface and mesh were used to describe the geometries of foot and soft soil, respectively. The influences of three foot shapes on the sinkage and walking stability of the robot were analyzed by comparsion. The improved X-shaped foot reduced the robot’s sinkage and improved its walking stability."
Novel design of a family of legged mobile landers based on decoupled landing and walking functions;;Rongfu Lin (Shanghai Jiao Tong University);Weizhong Guo(Shanghai Jiao Tong University);Journal of Mechanical Science and Technology;Journal of Mechanical Science and Technology;대한기계학회;;202009;34(9);pp.3815~3822;· Decoupled functions · Legged mobile lander · Motion characteristic · Novel design;;기계공학;0;;10.1007/s12206-020-0832-x;The lander has made a significant contribution to soft landings and exploration of an extraterrestrial surface. To further expand its detection range and meet the needs of base construction in the future, it is necessary to design a legged mobile lander (LML) that lets the fixed lander walk. In this paper, a decoupled functions synthesis method (DFSM), which means the decoupled landing and walking functions for LMLs, is proposed: it uses separate structures of landing leg (LL) and walking leg (WL) to perform landing and walking functions. The structure of the Chang’e lander’s leg is selected and designed as the LL. The structures of WLs are determined and presented by the Lie group type synthesis method. In accordance with the combination principle, the landing-walking leg (LWL) for LMLs is designed by combining the structures of a LL and a WL. The structures of a family of LMLs are achieved by assembling the same or different structures of legs. Furthermore, the actuated joints are assigned according to the principle for selecting the actuated joint and one case of LWL is selected as an optimized type by the qualitative evaluation. Finally, one leg of LMLs is taken as an example to analyze the properties and abilities during different stages.
